level_0,index,Radiance,c2_1,c3_1,water_Reflectance_1,c2_2,c3_2,water_Reflectance_2,Mean_water_Reflectance,Standard_deviation_water
0,0,350.0,1.539831,1155167.0,89.3391,1.539831,1050772.0,81.4695,85.4043,5.564647525225658
1,1,351.0,1.595987,1204987.0,89.8764,1.595987,1092210.0,81.74,85.8082,5.7533036144462315
2,2,352.0,1.65845,1261272.0,90.5003,1.65845,1137300.0,81.9151,86.20769999999999,6.070653137842748
3,3,353.0,1.7217770000000001,1318380.0,91.1232,1.7217770000000001,1183121.0,82.0337,86.57845,6.427247087595124
4,4,354.0,1.7873,1374754.0,91.6171,1.7873,1229041.0,81.9829,86.8,6.812408151307431
5,5,355.0,1.8552650000000002,1428856.0,91.8978,1.8552650000000002,1274173.0,81.6782,86.78800000000001,7.226348461014041
6,6,356.0,1.9308779999999999,1481338.0,91.6426,1.9308779999999999,1330121.0,81.9771,86.80985,6.834540593558581
7,7,357.0,2.00469,1533597.0,91.3955,2.00469,1387778.0,82.5544,86.97495,6.251601763148384
8,8,358.0,2.062938,1587413.0,91.9333,2.062938,1434058.0,82.9842,87.45875000000001,6.327969295516533
9,9,359.0,2.130008,1642232.0,92.09,2.130008,1488635.0,83.3727,87.73134999999999,6.164061943637496
10,10,360.0,2.2036830000000003,1699974.0,92.0559,2.2036830000000003,1549487.0,83.7549,87.9054,5.869693390629522
11,11,361.0,2.272282,1766505.0,92.6168,2.272282,1607435.0,84.2726,88.4447,5.900240403576791
12,12,362.0,2.345859,1840327.0,93.3801,2.345859,1665198.0,84.6032,88.99164999999999,6.206205507796207
13,13,363.0,2.424481,1918938.0,94.2255,2.424481,1723228.0,84.742,89.48375,6.705847159382618
14,14,364.0,2.496673,1989431.0,94.9018,2.496673,1782359.0,85.0865,89.99414999999999,6.9404651893803155
15,15,365.0,2.571841,2064847.0,95.6434,2.571841,1841740.0,85.3508,90.4971,7.277967256040654
16,16,366.0,2.655123,2152457.0,96.5743,2.655123,1901054.0,85.3882,90.98124999999999,7.9097671650308365
17,17,367.0,2.743,2243606.0,97.4802,2.743,1968472.0,85.5863,91.53325,8.41025734475468
18,18,368.0,2.834593,2334407.0,98.2146,2.834593,2039029.0,85.7969,92.00575,8.7806398767402
19,19,369.0,2.92845,2420228.0,98.6189,2.92845,2107997.0,85.898,92.25845,8.995034652795953
20,20,370.0,3.0331200000000003,2506271.0,98.6297,3.0331200000000003,2182088.0,85.8807,92.2552,9.01490435334729
21,21,371.0,3.1421069999999998,2591368.0,98.4143,3.1421069999999998,2259723.0,85.835,92.12465,8.89490833257994
22,22,372.0,3.239652,2671759.0,98.3391,3.239652,2336111.0,85.9436,92.14135,8.764942106197848
23,23,373.0,3.329883,2753463.0,98.564,3.329883,2412977.0,86.2869,92.42545,8.681220663305355
24,24,374.0,3.4146620000000003,2836679.0,99.0397,3.4146620000000003,2490791.0,86.8482,92.94395,8.620692322835788
25,25,375.0,3.501386,2917986.0,99.3576,3.501386,2571813.0,87.4842,93.4209,8.395761655740356
26,26,376.0,3.5882970000000003,2997860.0,99.5991,3.5882970000000003,2648273.0,87.9422,93.77065,8.242673037613471
27,27,377.0,3.6755190000000004,3076362.0,99.7667,3.6755190000000004,2718484.0,88.1502,93.95845,8.21410592365353
28,28,378.0,3.767028,3152425.0,99.768,3.767028,2798512.0,88.5903,94.17914999999999,7.903827468068873
29,29,379.0,3.864124,3237299.0,99.8968,3.864124,2881052.0,88.952,94.42439999999999,7.739142298730526
30,30,380.0,3.967545,3339217.0,100.3765,3.967545,2960829.0,89.018,94.69725,8.031672374107394
31,31,381.0,4.0860330000000005,3457835.0,100.9151,4.0860330000000005,3061191.0,89.3537,95.1344,8.175144340010144
32,32,382.0,4.219702,3589485.0,101.4107,4.219702,3175015.0,89.7271,95.5689,8.261552788671155
33,33,383.0,4.366072,3727301.0,101.7306,4.366072,3290771.0,89.828,95.7793,8.416409173750996
34,34,384.0,4.544525,3883828.0,101.8503,4.544525,3430314.0,89.9236,95.88695,8.433450447177604
35,35,385.0,4.742053,4056664.0,101.9704,4.742053,3588211.0,90.134,96.0522,8.36959870483645
36,36,386.0,4.922475,4236136.0,102.5766,4.922475,3746613.0,90.7208,96.64869999999999,8.383316576391472
37,37,387.0,5.11538,4430599.0,103.2413,5.11538,3916606.0,91.2933,97.2673,8.448511821616865
38,38,388.0,5.320996,4635958.0,103.8577,5.320996,4095166.0,91.7606,97.80914999999999,8.553941442691782
39,39,389.0,5.516266000000001,4826834.0,104.2938,5.516266000000001,4259780.0,92.035,98.1644,8.668280609209654
40,40,390.0,5.729712,5021672.0,104.4636,5.729712,4433123.0,92.1977,98.33064999999999,8.673301067356075
41,41,391.0,5.967434,5225004.0,104.3662,5.967434,4619747.0,92.2691,98.31765,8.553941442691793
42,42,392.0,6.191338,5427973.0,104.5048,6.191338,4792055.0,92.2711,98.38795,8.650532229001865
43,43,393.0,6.420076,5632634.0,104.6156,6.420076,4966211.0,92.2435,98.42955,8.748395807518087
